rpm,engine_temperature,battery_voltage,fuel_pressure,engine_load,fault_type,dtc_code,sae_definition,subsystem,severity,standard_procedure
4311.4,97.2,13.82,44.9,84.2,Engine Mechanical,P0300,Random / Multiple Cylinder Misfire Detected,Powertrain - Cylinder Compression & Ignition Mechanical,Critical,"Execute SAE J2012 misfire diagnostic procedure: inspect ignition coil pack waveform, inspect spark plug electrode gap and carbon fouling, perform cylinder compression test, and check for intake manifold vacuum leaks."
1606.8,94.3,13.47,27.0,52.0,Fuel System,P0087,Fuel Rail / System Pressure Too Low,Powertrain - Fuel Delivery & Rail Hydraulics,Warning,"Execute SAE J2012 fuel delivery diagnostic: test low-pressure in-tank fuel pump delivery rate, inspect fuel filter for particulate clogging, verify high-pressure rail relief valve, and inspect injector spray patterns."
3921.5,93.4,14.09,22.5,66.6,Fuel System,P0087,Fuel Rail / System Pressure Too Low,Powertrain - Fuel Delivery & Rail Hydraulics,Warning,"Execute SAE J2012 fuel delivery diagnostic: test low-pressure in-tank fuel pump delivery rate, inspect fuel filter for particulate clogging, verify high-pressure rail relief valve, and inspect injector spray patterns."
2822.3,78.0,11.27,39.5,62.2,Battery/Electrical,P0562,System Voltage Low / Charging Circuit Failure,Powertrain - Electrical & Alternator System,Warning,"Execute SAE J2012 charging system test: test alternator output under load, measure battery cold cranking amps (CCA) and internal resistance, check drive belt tension, and inspect chassis ground loops."
2761.6,106.0,12.8,43.2,66.4,Cooling System,P0217,Engine Coolant Overtemperature Condition,Powertrain - Thermal Management & Cooling,Critical,"Execute SAE J2012 cooling diagnostic tree: inspect thermostat opening valve, verify radiator cooling fan relay activation, inspect water pump flow, and pressure-test cooling circuit for head gasket breach."
3684.2,93.3,14.02,23.9,39.6,Fuel System,P0087,Fuel Rail / System Pressure Too Low,Powertrain - Fuel Delivery & Rail Hydraulics,Warning,"Execute SAE J2012 fuel delivery diagnostic: test low-pressure in-tank fuel pump delivery rate, inspect fuel filter for particulate clogging, verify high-pressure rail relief valve, and inspect injector spray patterns."
2678.5,94.8,13.63,48.1,52.9,Normal,P0000,Nominal Operation - No Diagnostic Trouble Code Detected,Powertrain - All Subsystems Nominal,Normal,Vehicle operating within certified SAE J1979 parameters. No technician intervention required.
2395.5,84.1,11.34,45.7,27.2,Battery/Electrical,P0562,System Voltage Low / Charging Circuit Failure,Powertrain - Electrical & Alternator System,Warning,"Execute SAE J2012 charging system test: test alternator output under load, measure battery cold cranking amps (CCA) and internal resistance, check drive belt tension, and inspect chassis ground loops."
2750.0,87.6,13.72,44.9,43.7,Normal,P0000,Nominal Operation - No Diagnostic Trouble Code Detected,Powertrain - All Subsystems Nominal,Normal,Vehicle operating within certified SAE J1979 parameters. No technician intervention required.
601.2,92.7,13.84,43.6,64.0,Engine Mechanical,P0300,Random / Multiple Cylinder Misfire Detected,Powertrain - Cylinder Compression & Ignition Mechanical,Critical,"Execute SAE J2012 misfire diagnostic procedure: inspect ignition coil pack waveform, inspect spark plug electrode gap and carbon fouling, perform cylinder compression test, and check for intake manifold vacuum leaks."
800.0,107.2,12.8,44.7,79.9,Cooling System,P0217,Engine Coolant Overtemperature Condition,Powertrain - Thermal Management & Cooling,Critical,"Execute SAE J2012 cooling diagnostic tree: inspect thermostat opening valve, verify radiator cooling fan relay activation, inspect water pump flow, and pressure-test cooling circuit for head gasket breach."
696.0,102.3,13.98,44.9,79.6,Engine Mechanical,P0300,Random / Multiple Cylinder Misfire Detected,Powertrain - Cylinder Compression & Ignition Mechanical,Critical,"Execute SAE J2012 misfire diagnostic procedure: inspect ignition coil pack waveform, inspect spark plug electrode gap and carbon fouling, perform cylinder compression test, and check for intake manifold vacuum leaks."
1215.8,109.7,13.13,36.9,68.0,Cooling System,P0217,Engine Coolant Overtemperature Condition,Powertrain - Thermal Management & Cooling,Critical,"Execute SAE J2012 cooling diagnostic tree: inspect thermostat opening valve, verify radiator cooling fan relay activation, inspect water pump flow, and pressure-test cooling circuit for head gasket breach."
2465.9,89.8,14.24,50.7,52.8,Normal,P0000,Nominal Operation - No Diagnostic Trouble Code Detected,Powertrain - All Subsystems Nominal,Normal,Vehicle operating within certified SAE J1979 parameters. No technician intervention required.
1906.3,87.7,11.34,41.8,22.2,Battery/Electrical,P0562,System Voltage Low / Charging Circuit Failure,Powertrain - Electrical & Alternator System,Warning,"Execute SAE J2012 charging system test: test alternator output under load, measure battery cold cranking amps (CCA) and internal resistance, check drive belt tension, and inspect chassis ground loops."
577.2,96.8,13.82,49.0,84.1,Engine Mechanical,P0300,Random / Multiple Cylinder Misfire Detected,Powertrain - Cylinder Compression & Ignition Mechanical,Critical,"Execute SAE J2012 misfire diagnostic procedure: inspect ignition coil pack waveform, inspect spark plug electrode gap and carbon fouling, perform cylinder compression test, and check for intake manifold vacuum leaks."
2272.4,93.8,13.82,43.0,48.0,Normal,P0000,Nominal Operation - No Diagnostic Trouble Code Detected,Powertrain - All Subsystems Nominal,Normal,Vehicle operating within certified SAE J1979 parameters. No technician intervention required.
2587.9,88.9,13.92,48.8,49.8,Normal,P0000,Nominal Operation - No Diagnostic Trouble Code Detected,Powertrain - All Subsystems Nominal,Normal,Vehicle operating within certified SAE J1979 parameters. No technician intervention required.
3131.3,102.6,14.06,24.6,67.2,Fuel System,P0087,Fuel Rail / System Pressure Too Low,Powertrain - Fuel Delivery & Rail Hydraulics,Warning,"Execute SAE J2012 fuel delivery diagnostic: test low-pressure in-tank fuel pump delivery rate, inspect fuel filter for particulate clogging, verify high-pressure rail relief valve, and inspect injector spray patterns."
2544.8,92.1,14.36,39.8,53.7,Normal,P0000,Nominal Operation - No Diagnostic Trouble Code Detected,Powertrain - All Subsystems Nominal,Normal,Vehicle operating within certified SAE J1979 parameters. No technician intervention required.
2320.0,86.8,14.52,49.6,49.7,Normal,P0000,Nominal Operation - No Diagnostic Trouble Code Detected,Powertrain - All Subsystems Nominal,Normal,Vehicle operating within certified SAE J1979 parameters. No technician intervention required.
2554.3,111.0,13.73,44.1,70.2,Cooling System,P0217,Engine Coolant Overtemperature Condition,Powertrain - Thermal Management & Cooling,Critical,"Execute SAE J2012 cooling diagnostic tree: inspect thermostat opening valve, verify radiator cooling fan relay activation, inspect water pump flow, and pressure-test cooling circuit for head gasket breach."
1855.1,86.0,14.2,49.0,38.5,Normal,P0000,Nominal Operation - No Diagnostic Trouble Code Detected,Powertrain - All Subsystems Nominal,Normal,Vehicle operating within certified SAE J1979 parameters. No technician intervention required.
3640.7,93.3,13.48,46.3,79.0,Engine Mechanical,P0300,Random / Multiple Cylinder Misfire Detected,Powertrain - Cylinder Compression & Ignition Mechanical,Critical,"Execute SAE J2012 misfire diagnostic procedure: inspect ignition coil pack waveform, inspect spark plug electrode gap and carbon fouling, perform cylinder compression test, and check for intake manifold vacuum leaks."
1706.5,111.4,13.56,49.7,89.8,Cooling System,P0217,Engine Coolant Overtemperature Condition,Powertrain - Thermal Management & Cooling,Critical,"Execute SAE J2012 cooling diagnostic tree: inspect thermostat opening valve, verify radiator cooling fan relay activation, inspect water pump flow, and pressure-test cooling circuit for head gasket breach."
2251.8,109.2,14.11,43.5,59.3,Cooling System,P0217,Engine Coolant Overtemperature Condition,Powertrain - Thermal Management & Cooling,Critical,"Execute SAE J2012 cooling diagnostic tree: inspect thermostat opening valve, verify radiator cooling fan relay activation, inspect water pump flow, and pressure-test cooling circuit for head gasket breach."
3245.4,85.5,13.77,27.9,49.1,Fuel System,P0087,Fuel Rail / System Pressure Too Low,Powertrain - Fuel Delivery & Rail Hydraulics,Warning,"Execute SAE J2012 fuel delivery diagnostic: test low-pressure in-tank fuel pump delivery rate, inspect fuel filter for particulate clogging, verify high-pressure rail relief valve, and inspect injector spray patterns."
2226.2,98.6,13.31,25.4,52.8,Fuel System,P0087,Fuel Rail / System Pressure Too Low,Powertrain - Fuel Delivery & Rail Hydraulics,Warning,"Execute SAE J2012 fuel delivery diagnostic: test low-pressure in-tank fuel pump delivery rate, inspect fuel filter for particulate clogging, verify high-pressure rail relief valve, and inspect injector spray patterns."
816.2,93.2,13.72,48.0,66.2,Engine Mechanical,P0300,Random / Multiple Cylinder Misfire Detected,Powertrain - Cylinder Compression & Ignition Mechanical,Critical,"Execute SAE J2012 misfire diagnostic procedure: inspect ignition coil pack waveform, inspect spark plug electrode gap and carbon fouling, perform cylinder compression test, and check for intake manifold vacuum leaks."
3058.0,98.8,13.67,17.5,45.0,Fuel System,P0087,Fuel Rail / System Pressure Too Low,Powertrain - Fuel Delivery & Rail Hydraulics,Warning,"Execute SAE J2012 fuel delivery diagnostic: test low-pressure in-tank fuel pump delivery rate, inspect fuel filter for particulate clogging, verify high-pressure rail relief valve, and inspect injector spray patterns."
2573.4,84.8,13.2,16.8,58.7,Fuel System,P0087,Fuel Rail / System Pressure Too Low,Powertrain - Fuel Delivery & Rail Hydraulics,Warning,"Execute SAE J2012 fuel delivery diagnostic: test low-pressure in-tank fuel pump delivery rate, inspect fuel filter for particulate clogging, verify high-pressure rail relief valve, and inspect injector spray patterns."
2282.5,87.3,11.87,44.1,26.0,Battery/Electrical,P0562,System Voltage Low / Charging Circuit Failure,Powertrain - Electrical & Alternator System,Warning,"Execute SAE J2012 charging system test: test alternator output under load, measure battery cold cranking amps (CCA) and internal resistance, check drive belt tension, and inspect chassis ground loops."
2830.7,94.4,14.0,18.7,73.7,Fuel System,P0087,Fuel Rail / System Pressure Too Low,Powertrain - Fuel Delivery & Rail Hydraulics,Warning,"Execute SAE J2012 fuel delivery diagnostic: test low-pressure in-tank fuel pump delivery rate, inspect fuel filter for particulate clogging, verify high-pressure rail relief valve, and inspect injector spray patterns."
2006.5,87.8,14.05,47.8,48.2,Normal,P0000,Nominal Operation - No Diagnostic Trouble Code Detected,Powertrain - All Subsystems Nominal,Normal,Vehicle operating within certified SAE J1979 parameters. No technician intervention required.
978.1,94.6,11.37,46.9,46.1,Battery/Electrical,P0562,System Voltage Low / Charging Circuit Failure,Powertrain - Electrical & Alternator System,Warning,"Execute SAE J2012 charging system test: test alternator output under load, measure battery cold cranking amps (CCA) and internal resistance, check drive belt tension, and inspect chassis ground loops."
2673.4,113.0,14.04,50.2,46.7,Cooling System,P0217,Engine Coolant Overtemperature Condition,Powertrain - Thermal Management & Cooling,Critical,"Execute SAE J2012 cooling diagnostic tree: inspect thermostat opening valve, verify radiator cooling fan relay activation, inspect water pump flow, and pressure-test cooling circuit for head gasket breach."
3176.5,104.0,13.07,50.2,65.3,Cooling System,P0217,Engine Coolant Overtemperature Condition,Powertrain - Thermal Management & Cooling,Critical,"Execute SAE J2012 cooling diagnostic tree: inspect thermostat opening valve, verify radiator cooling fan relay activation, inspect water pump flow, and pressure-test cooling circuit for head gasket breach."
4355.8,102.2,,45.0,88.3,Engine Mechanical,P0300,Random / Multiple Cylinder Misfire Detected,Powertrain - Cylinder Compression & Ignition Mechanical,Critical,"Execute SAE J2012 misfire diagnostic procedure: inspect ignition coil pack waveform, inspect spark plug electrode gap and carbon fouling, perform cylinder compression test, and check for intake manifold vacuum leaks."
2954.9,87.6,11.68,39.8,32.5,Battery/Electrical,P0562,System Voltage Low / Charging Circuit Failure,Powertrain - Electrical & Alternator System,Warning,"Execute SAE J2012 charging system test: test alternator output under load, measure battery cold cranking amps (CCA) and internal resistance, check drive belt tension, and inspect chassis ground loops."
2548.5,104.0,13.7,43.8,56.2,Cooling System,P0217,Engine Coolant Overtemperature Condition,Powertrain - Thermal Management & Cooling,Critical,"Execute SAE J2012 cooling diagnostic tree: inspect thermostat opening valve, verify radiator cooling fan relay activation, inspect water pump flow, and pressure-test cooling circuit for head gasket breach."
2493.5,93.3,13.26,23.1,55.5,Fuel System,P0087,Fuel Rail / System Pressure Too Low,Powertrain - Fuel Delivery & Rail Hydraulics,Warning,"Execute SAE J2012 fuel delivery diagnostic: test low-pressure in-tank fuel pump delivery rate, inspect fuel filter for particulate clogging, verify high-pressure rail relief valve, and inspect injector spray patterns."
4475.5,120.9,13.5,36.0,69.0,Cooling System,P0217,Engine Coolant Overtemperature Condition,Powertrain - Thermal Management & Cooling,Critical,"Execute SAE J2012 cooling diagnostic tree: inspect thermostat opening valve, verify radiator cooling fan relay activation, inspect water pump flow, and pressure-test cooling circuit for head gasket breach."
1667.0,90.7,13.84,45.0,47.9,Normal,P0000,Nominal Operation - No Diagnostic Trouble Code Detected,Powertrain - All Subsystems Nominal,Normal,Vehicle operating within certified SAE J1979 parameters. No technician intervention required.
2017.7,94.3,13.73,30.6,58.2,Fuel System,P0087,Fuel Rail / System Pressure Too Low,Powertrain - Fuel Delivery & Rail Hydraulics,Warning,"Execute SAE J2012 fuel delivery diagnostic: test low-pressure in-tank fuel pump delivery rate, inspect fuel filter for particulate clogging, verify high-pressure rail relief valve, and inspect injector spray patterns."
3092.8,110.1,13.86,47.2,64.7,Cooling System,P0217,Engine Coolant Overtemperature Condition,Powertrain - Thermal Management & Cooling,Critical,"Execute SAE J2012 cooling diagnostic tree: inspect thermostat opening valve, verify radiator cooling fan relay activation, inspect water pump flow, and pressure-test cooling circuit for head gasket breach."
2421.8,116.0,13.6,45.5,60.3,Cooling System,P0217,Engine Coolant Overtemperature Condition,Powertrain - Thermal Management & Cooling,Critical,"Execute SAE J2012 cooling diagnostic tree: inspect thermostat opening valve, verify radiator cooling fan relay activation, inspect water pump flow, and pressure-test cooling circuit for head gasket breach."
500.0,94.1,13.61,38.9,78.8,Engine Mechanical,P0300,Random / Multiple Cylinder Misfire Detected,Powertrain - Cylinder Compression & Ignition Mechanical,Critical,"Execute SAE J2012 misfire diagnostic procedure: inspect ignition coil pack waveform, inspect spark plug electrode gap and carbon fouling, perform cylinder compression test, and check for intake manifold vacuum leaks."
2858.6,101.1,13.36,39.6,86.8,Engine Mechanical,P0300,Random / Multiple Cylinder Misfire Detected,Powertrain - Cylinder Compression & Ignition Mechanical,Critical,"Execute SAE J2012 misfire diagnostic procedure: inspect ignition coil pack waveform, inspect spark plug electrode gap and carbon fouling, perform cylinder compression test, and check for intake manifold vacuum leaks."
2177.8,93.1,13.93,20.8,42.4,Fuel System,P0087,Fuel Rail / System Pressure Too Low,Powertrain - Fuel Delivery & Rail Hydraulics,Warning,"Execute SAE J2012 fuel delivery diagnostic: test low-pressure in-tank fuel pump delivery rate, inspect fuel filter for particulate clogging, verify high-pressure rail relief valve, and inspect injector spray patterns."
4688.1,86.0,14.4,39.7,89.1,Engine Mechanical,P0300,Random / Multiple Cylinder Misfire Detected,Powertrain - Cylinder Compression & Ignition Mechanical,Critical,"Execute SAE J2012 misfire diagnostic procedure: inspect ignition coil pack waveform, inspect spark plug electrode gap and carbon fouling, perform cylinder compression test, and check for intake manifold vacuum leaks."
2694.9,113.0,14.3,47.8,57.2,Cooling System,P0217,Engine Coolant Overtemperature Condition,Powertrain - Thermal Management & Cooling,Critical,"Execute SAE J2012 cooling diagnostic tree: inspect thermostat opening valve, verify radiator cooling fan relay activation, inspect water pump flow, and pressure-test cooling circuit for head gasket breach."
4432.2,89.9,13.01,39.9,64.5,Engine Mechanical,P0300,Random / Multiple Cylinder Misfire Detected,Powertrain - Cylinder Compression & Ignition Mechanical,Critical,"Execute SAE J2012 misfire diagnostic procedure: inspect ignition coil pack waveform, inspect spark plug electrode gap and carbon fouling, perform cylinder compression test, and check for intake manifold vacuum leaks."
2944.9,85.8,15.3,44.4,49.0,Battery/Electrical,P0562,System Voltage Low / Charging Circuit Failure,Powertrain - Electrical & Alternator System,Warning,"Execute SAE J2012 charging system test: test alternator output under load, measure battery cold cranking amps (CCA) and internal resistance, check drive belt tension, and inspect chassis ground loops."
2246.4,96.3,13.94,22.2,69.6,Fuel System,P0087,Fuel Rail / System Pressure Too Low,Powertrain - Fuel Delivery & Rail Hydraulics,Warning,"Execute SAE J2012 fuel delivery diagnostic: test low-pressure in-tank fuel pump delivery rate, inspect fuel filter for particulate clogging, verify high-pressure rail relief valve, and inspect injector spray patterns."
700.0,90.5,12.1,40.6,34.5,Battery/Electrical,P0562,System Voltage Low / Charging Circuit Failure,Powertrain - Electrical & Alternator System,Warning,"Execute SAE J2012 charging system test: test alternator output under load, measure battery cold cranking amps (CCA) and internal resistance, check drive belt tension, and inspect chassis ground loops."
,86.2,14.16,44.2,35.5,Normal,P0000,Nominal Operation - No Diagnostic Trouble Code Detected,Powertrain - All Subsystems Nominal,Normal,Vehicle operating within certified SAE J1979 parameters. No technician intervention required.
3099.2,95.9,13.52,39.2,92.1,Engine Mechanical,P0300,Random / Multiple Cylinder Misfire Detected,Powertrain - Cylinder Compression & Ignition Mechanical,Critical,"Execute SAE J2012 misfire diagnostic procedure: inspect ignition coil pack waveform, inspect spark plug electrode gap and carbon fouling, perform cylinder compression test, and check for intake manifold vacuum leaks."
1389.9,109.6,13.22,50.5,62.1,Cooling System,P0217,Engine Coolant Overtemperature Condition,Powertrain - Thermal Management & Cooling,Critical,"Execute SAE J2012 cooling diagnostic tree: inspect thermostat opening valve, verify radiator cooling fan relay activation, inspect water pump flow, and pressure-test cooling circuit for head gasket breach."
1419.0,116.4,13.86,42.0,55.7,Cooling System,P0217,Engine Coolant Overtemperature Condition,Powertrain - Thermal Management & Cooling,Critical,"Execute SAE J2012 cooling diagnostic tree: inspect thermostat opening valve, verify radiator cooling fan relay activation, inspect water pump flow, and pressure-test cooling circuit for head gasket breach."
2976.3,94.3,13.96,62.0,30.0,Fuel System,P0087,Fuel Rail / System Pressure Too Low,Powertrain - Fuel Delivery & Rail Hydraulics,Warning,"Execute SAE J2012 fuel delivery diagnostic: test low-pressure in-tank fuel pump delivery rate, inspect fuel filter for particulate clogging, verify high-pressure rail relief valve, and inspect injector spray patterns."
4366.4,114.7,14.0,45.2,55.5,Cooling System,P0217,Engine Coolant Overtemperature Condition,Powertrain - Thermal Management & Cooling,Critical,"Execute SAE J2012 cooling diagnostic tree: inspect thermostat opening valve, verify radiator cooling fan relay activation, inspect water pump flow, and pressure-test cooling circuit for head gasket breach."
1134.5,93.8,11.08,46.6,28.5,Battery/Electrical,P0562,System Voltage Low / Charging Circuit Failure,Powertrain - Electrical & Alternator System,Warning,"Execute SAE J2012 charging system test: test alternator output under load, measure battery cold cranking amps (CCA) and internal resistance, check drive belt tension, and inspect chassis ground loops."
2548.2,108.4,14.01,40.5,93.0,Engine Mechanical,P0300,Random / Multiple Cylinder Misfire Detected,Powertrain - Cylinder Compression & Ignition Mechanical,Critical,"Execute SAE J2012 misfire diagnostic procedure: inspect ignition coil pack waveform, inspect spark plug electrode gap and carbon fouling, perform cylinder compression test, and check for intake manifold vacuum leaks."
1851.1,96.0,14.42,48.7,37.9,Normal,P0000,Nominal Operation - No Diagnostic Trouble Code Detected,Powertrain - All Subsystems Nominal,Normal,Vehicle operating within certified SAE J1979 parameters. No technician intervention required.
1141.3,82.2,10.61,40.7,22.7,Battery/Electrical,P0562,System Voltage Low / Charging Circuit Failure,Powertrain - Electrical & Alternator System,Warning,"Execute SAE J2012 charging system test: test alternator output under load, measure battery cold cranking amps (CCA) and internal resistance, check drive belt tension, and inspect chassis ground loops."
2617.3,112.1,13.96,40.8,72.7,Cooling System,P0217,Engine Coolant Overtemperature Condition,Powertrain - Thermal Management & Cooling,Critical,"Execute SAE J2012 cooling diagnostic tree: inspect thermostat opening valve, verify radiator cooling fan relay activation, inspect water pump flow, and pressure-test cooling circuit for head gasket breach."
4154.9,114.3,13.72,43.9,64.6,Cooling System,P0217,Engine Coolant Overtemperature Condition,Powertrain - Thermal Management & Cooling,Critical,"Execute SAE J2012 cooling diagnostic tree: inspect thermostat opening valve, verify radiator cooling fan relay activation, inspect water pump flow, and pressure-test cooling circuit for head gasket breach."
2580.5,86.4,13.61,21.0,54.8,Fuel System,P0087,Fuel Rail / System Pressure Too Low,Powertrain - Fuel Delivery & Rail Hydraulics,Warning,"Execute SAE J2012 fuel delivery diagnostic: test low-pressure in-tank fuel pump delivery rate, inspect fuel filter for particulate clogging, verify high-pressure rail relief valve, and inspect injector spray patterns."
1752.5,117.9,14.06,36.0,66.2,Cooling System,P0217,Engine Coolant Overtemperature Condition,Powertrain - Thermal Management & Cooling,Critical,"Execute SAE J2012 cooling diagnostic tree: inspect thermostat opening valve, verify radiator cooling fan relay activation, inspect water pump flow, and pressure-test cooling circuit for head gasket breach."
2678.5,94.5,13.69,70.8,80.9,Fuel System,P0087,Fuel Rail / System Pressure Too Low,Powertrain - Fuel Delivery & Rail Hydraulics,Warning,"Execute SAE J2012 fuel delivery diagnostic: test low-pressure in-tank fuel pump delivery rate, inspect fuel filter for particulate clogging, verify high-pressure rail relief valve, and inspect injector spray patterns."
2716.5,97.9,14.11,45.3,55.3,Normal,P0000,Nominal Operation - No Diagnostic Trouble Code Detected,Powertrain - All Subsystems Nominal,Normal,Vehicle operating within certified SAE J1979 parameters. No technician intervention required.
3499.6,93.8,11.48,39.4,42.5,Battery/Electrical,P0562,System Voltage Low / Charging Circuit Failure,Powertrain - Electrical & Alternator System,Warning,"Execute SAE J2012 charging system test: test alternator output under load, measure battery cold cranking amps (CCA) and internal resistance, check drive belt tension, and inspect chassis ground loops."
3733.8,109.0,13.37,46.5,91.0,Engine Mechanical,P0300,Random / Multiple Cylinder Misfire Detected,Powertrain - Cylinder Compression & Ignition Mechanical,Critical,"Execute SAE J2012 misfire diagnostic procedure: inspect ignition coil pack waveform, inspect spark plug electrode gap and carbon fouling, perform cylinder compression test, and check for intake manifold vacuum leaks."
1476.5,96.8,14.07,48.5,32.1,Normal,P0000,Nominal Operation - No Diagnostic Trouble Code Detected,Powertrain - All Subsystems Nominal,Normal,Vehicle operating within certified SAE J1979 parameters. No technician intervention required.
3033.3,115.0,13.82,48.5,59.3,Cooling System,P0217,Engine Coolant Overtemperature Condition,Powertrain - Thermal Management & Cooling,Critical,"Execute SAE J2012 cooling diagnostic tree: inspect thermostat opening valve, verify radiator cooling fan relay activation, inspect water pump flow, and pressure-test cooling circuit for head gasket breach."
2717.3,92.0,14.07,46.3,51.5,Normal,P0000,Nominal Operation - No Diagnostic Trouble Code Detected,Powertrain - All Subsystems Nominal,Normal,Vehicle operating within certified SAE J1979 parameters. No technician intervention required.
1395.7,89.2,14.6,39.6,28.6,Normal,P0000,Nominal Operation - No Diagnostic Trouble Code Detected,Powertrain - All Subsystems Nominal,Normal,Vehicle operating within certified SAE J1979 parameters. No technician intervention required.
3069.1,116.2,13.2,41.3,67.7,Cooling System,P0217,Engine Coolant Overtemperature Condition,Powertrain - Thermal Management & Cooling,Critical,"Execute SAE J2012 cooling diagnostic tree: inspect thermostat opening valve, verify radiator cooling fan relay activation, inspect water pump flow, and pressure-test cooling circuit for head gasket breach."
2946.4,88.8,13.83,49.1,,Normal,P0000,Nominal Operation - No Diagnostic Trouble Code Detected,Powertrain - All Subsystems Nominal,Normal,Vehicle operating within certified SAE J1979 parameters. No technician intervention required.
647.8,99.1,13.03,48.7,71.2,Engine Mechanical,P0300,Random / Multiple Cylinder Misfire Detected,Powertrain - Cylinder Compression & Ignition Mechanical,Critical,"Execute SAE J2012 misfire diagnostic procedure: inspect ignition coil pack waveform, inspect spark plug electrode gap and carbon fouling, perform cylinder compression test, and check for intake manifold vacuum leaks."
3085.2,96.1,10.91,45.7,23.8,Battery/Electrical,P0562,System Voltage Low / Charging Circuit Failure,Powertrain - Electrical & Alternator System,Warning,"Execute SAE J2012 charging system test: test alternator output under load, measure battery cold cranking amps (CCA) and internal resistance, check drive belt tension, and inspect chassis ground loops."
1933.5,118.5,13.13,40.6,58.4,Cooling System,P0217,Engine Coolant Overtemperature Condition,Powertrain - Thermal Management & Cooling,Critical,"Execute SAE J2012 cooling diagnostic tree: inspect thermostat opening valve, verify radiator cooling fan relay activation, inspect water pump flow, and pressure-test cooling circuit for head gasket breach."
1978.0,94.5,14.41,43.6,42.3,Normal,P0000,Nominal Operation - No Diagnostic Trouble Code Detected,Powertrain - All Subsystems Nominal,Normal,Vehicle operating within certified SAE J1979 parameters. No technician intervention required.
2757.9,114.6,13.69,45.3,52.7,Cooling System,P0217,Engine Coolant Overtemperature Condition,Powertrain - Thermal Management & Cooling,Critical,"Execute SAE J2012 cooling diagnostic tree: inspect thermostat opening valve, verify radiator cooling fan relay activation, inspect water pump flow, and pressure-test cooling circuit for head gasket breach."
640.8,100.3,13.89,45.1,70.1,Engine Mechanical,P0300,Random / Multiple Cylinder Misfire Detected,Powertrain - Cylinder Compression & Ignition Mechanical,Critical,"Execute SAE J2012 misfire diagnostic procedure: inspect ignition coil pack waveform, inspect spark plug electrode gap and carbon fouling, perform cylinder compression test, and check for intake manifold vacuum leaks."
3014.8,80.0,14.13,41.0,55.3,Normal,P0000,Nominal Operation - No Diagnostic Trouble Code Detected,Powertrain - All Subsystems Nominal,Normal,Vehicle operating within certified SAE J1979 parameters. No technician intervention required.
3444.8,111.1,13.58,47.0,74.5,Cooling System,P0217,Engine Coolant Overtemperature Condition,Powertrain - Thermal Management & Cooling,Critical,"Execute SAE J2012 cooling diagnostic tree: inspect thermostat opening valve, verify radiator cooling fan relay activation, inspect water pump flow, and pressure-test cooling circuit for head gasket breach."
1746.0,100.3,14.1,28.5,56.7,Fuel System,P0087,Fuel Rail / System Pressure Too Low,Powertrain - Fuel Delivery & Rail Hydraulics,Warning,"Execute SAE J2012 fuel delivery diagnostic: test low-pressure in-tank fuel pump delivery rate, inspect fuel filter for particulate clogging, verify high-pressure rail relief valve, and inspect injector spray patterns."
611.8,98.3,14.23,48.6,74.9,Engine Mechanical,P0300,Random / Multiple Cylinder Misfire Detected,Powertrain - Cylinder Compression & Ignition Mechanical,Critical,"Execute SAE J2012 misfire diagnostic procedure: inspect ignition coil pack waveform, inspect spark plug electrode gap and carbon fouling, perform cylinder compression test, and check for intake manifold vacuum leaks."
3510.8,,13.07,43.9,95.6,Engine Mechanical,P0300,Random / Multiple Cylinder Misfire Detected,Powertrain - Cylinder Compression & Ignition Mechanical,Critical,"Execute SAE J2012 misfire diagnostic procedure: inspect ignition coil pack waveform, inspect spark plug electrode gap and carbon fouling, perform cylinder compression test, and check for intake manifold vacuum leaks."
1300.9,96.5,11.94,49.1,40.4,Battery/Electrical,P0562,System Voltage Low / Charging Circuit Failure,Powertrain - Electrical & Alternator System,Warning,"Execute SAE J2012 charging system test: test alternator output under load, measure battery cold cranking amps (CCA) and internal resistance, check drive belt tension, and inspect chassis ground loops."
1070.4,99.0,13.98,42.9,23.0,Normal,P0000,Nominal Operation - No Diagnostic Trouble Code Detected,Powertrain - All Subsystems Nominal,Normal,Vehicle operating within certified SAE J1979 parameters. No technician intervention required.
3986.8,115.3,13.63,41.4,73.2,Cooling System,P0217,Engine Coolant Overtemperature Condition,Powertrain - Thermal Management & Cooling,Critical,"Execute SAE J2012 cooling diagnostic tree: inspect thermostat opening valve, verify radiator cooling fan relay activation, inspect water pump flow, and pressure-test cooling circuit for head gasket breach."
1540.2,116.5,13.46,47.3,59.9,Cooling System,P0217,Engine Coolant Overtemperature Condition,Powertrain - Thermal Management & Cooling,Critical,"Execute SAE J2012 cooling diagnostic tree: inspect thermostat opening valve, verify radiator cooling fan relay activation, inspect water pump flow, and pressure-test cooling circuit for head gasket breach."
2956.7,91.9,16.01,49.1,21.1,Battery/Electrical,P0562,System Voltage Low / Charging Circuit Failure,Powertrain - Electrical & Alternator System,Warning,"Execute SAE J2012 charging system test: test alternator output under load, measure battery cold cranking amps (CCA) and internal resistance, check drive belt tension, and inspect chassis ground loops."
2023.7,91.9,13.4,46.6,34.8,Normal,P0000,Nominal Operation - No Diagnostic Trouble Code Detected,Powertrain - All Subsystems Nominal,Normal,Vehicle operating within certified SAE J1979 parameters. No technician intervention required.
